Product Category,Current Stock,Previous Month Sales,Average Weekly Sales,Current Selling Price,Competitor Price,Customer Rating,Festival Season,Predicted Demand
Fashion,194,484,119.18,126.81,122.63,4.3,No,519
Electronics,283,483,123.32,926.65,869.43,3.8,No,485
Beauty & Personal Care,70,122,34.23,41.93,45.95,3.3,No,174
Grocery,583,438,110.91,24.81,22.69,3.2,Yes,544
Sports & Outdoors,464,157,45.07,64.97,58.9,4.6,No,204
Electronics,358,53,14.1,1067.94,961.19,4.4,Yes,121
Home & Kitchen,428,342,78.67,34.48,33.88,3.8,Yes,467
Sports & Outdoors,77,168,43.62,212.27,232.72,4.5,No,247
Home & Kitchen,290,289,70.67,175.82,162.2,4.2,Yes,426
Electronics,338,334,78.4,1015.76,929.27,4.3,No,358
Electronics,39,134,38.63,344.6,315.58,4.4,Yes,247
Grocery,205,78,20.56,16.98,16.14,4.9,No,148
Electronics,592,496,125.93,1072.93,1088.33,2.0,No,528
Sports & Outdoors,554,61,14.08,53.73,50.19,3.3,No,123
Home & Kitchen,198,325,83.48,107.35,98.85,3.7,No,338
Fashion,577,361,90.38,100.6,91.97,5.0,No,411
Grocery,436,394,98.39,12.54,12.42,5.0,No,448
Beauty & Personal Care,559,354,88.75,8.4,7.57,2.9,No,380
Beauty & Personal Care,553,259,67.08,49.19,49.31,4.2,No,311
Electronics,498,55,14.15,1073.86,1089.92,4.8,Yes,189
Home & Kitchen,305,33,3.71,88.09,95.27,4.4,No,111
Fashion,328,117,31.68,20.48,22.0,4.3,No,167
Fashion,45,499,118.12,31.34,30.83,3.8,Yes,604
Fashion,567,461,119.24,134.89,137.55,4.8,No,524
Home & Kitchen,272,273,70.53,147.55,136.35,3.1,Yes,378
Grocery,227,249,70.28,2.53,2.34,3.6,No,316
Sports & Outdoors,34,298,74.08,106.04,113.5,3.4,No,339
Home & Kitchen,364,378,96.08,172.94,187.35,4.2,No,431
Home & Kitchen,197,431,107.53,109.9,110.16,4.2,Yes,537
Home & Kitchen,130,289,72.4,131.01,126.83,3.8,Yes,393
Beauty & Personal Care,438,406,102.13,34.25,32.32,3.9,No,454
Beauty & Personal Care,367,428,107.02,77.41,75.62,3.6,Yes,524
Fashion,174,276,67.91,117.09,116.12,4.3,Yes,394
Home & Kitchen,63,371,84.88,199.02,200.83,3.0,Yes,466
Beauty & Personal Care,383,238,60.84,32.51,32.78,4.0,No,275
Grocery,537,401,97.06,6.07,5.53,3.3,No,435
Grocery,439,399,101.23,15.14,14.05,5.0,No,449
Beauty & Personal Care,524,287,69.04,31.46,33.3,4.6,No,342
Home & Kitchen,144,388,95.3,53.27,58.21,4.1,No,442
Sports & Outdoors,528,163,41.73,28.57,29.6,5.0,No,219
Home & Kitchen,411,366,91.59,103.47,99.38,5.0,No,410
Grocery,369,217,53.58,18.55,20.01,4.4,No,275
Home & Kitchen,498,443,110.73,93.44,99.92,3.8,No,500
Beauty & Personal Care,324,301,77.91,74.91,67.88,4.5,No,344
Fashion,69,183,41.61,52.63,49.58,3.5,Yes,303
Home & Kitchen,205,39,7.91,11.08,12.05,4.0,No,100
Fashion,362,205,52.6,26.96,26.89,3.8,No,245
Grocery,87,369,98.58,15.06,15.66,4.4,Yes,475
Electronics,188,389,97.89,1034.18,980.86,3.1,No,401
Home & Kitchen,235,304,78.62,186.55,183.01,3.5,No,328
Electronics,341,172,42.6,1177.93,1202.31,4.9,Yes,300
Sports & Outdoors,416,88,27.4,31.87,33.03,4.8,No,149
Sports & Outdoors,294,44,7.9,137.24,127.44,3.4,No,94
Fashion,158,262,63.93,116.07,111.84,4.0,Yes,387
Electronics,581,357,94.04,762.43,757.39,4.2,Yes,477
Grocery,87,161,43.46,14.94,16.16,4.0,No,214
Home & Kitchen,179,193,50.52,26.97,27.98,2.2,No,220
Beauty & Personal Care,537,419,104.24,28.05,25.97,4.0,No,490
Beauty & Personal Care,500,312,76.77,15.55,15.55,4.6,No,364
Fashion,401,270,63.29,22.07,23.25,2.9,No,320
Electronics,166,343,83.89,1063.25,1112.27,4.7,No,425
Electronics,239,230,57.91,641.56,651.72,3.7,Yes,344
Sports & Outdoors,402,68,16.51,136.23,129.9,2.8,Yes,159
Fashion,175,177,36.56,86.68,88.33,3.8,Yes,306
Home & Kitchen,505,286,69.85,156.86,157.53,3.7,No,332
Electronics,377,47,9.21,823.95,835.59,4.4,No,112
Grocery,63,471,117.9,14.35,15.3,2.8,No,508
Home & Kitchen,108,118,29.19,152.01,151.21,2.7,Yes,223
Home & Kitchen,398,292,73.69,79.48,75.11,3.6,No,330
Grocery,568,315,81.46,5.35,5.5,3.9,No,379
Electronics,365,61,12.55,213.66,221.78,4.2,No,121
Grocery,298,262,60.68,13.26,13.74,4.0,Yes,362
Sports & Outdoors,586,17,4.82,53.95,53.36,4.2,No,80
Electronics,336,286,71.41,577.01,629.29,5.0,No,365
Grocery,145,485,116.4,3.22,3.3,4.2,No,528
Fashion,97,22,3.31,46.33,45.94,4.6,No,80
Fashion,326,50,12.5,63.2,68.59,4.3,No,96
Grocery,269,292,71.69,12.8,13.22,3.9,Yes,408
Electronics,21,107,28.6,655.63,673.39,3.8,No,158
Fashion,62,187,47.97,63.41,65.4,2.8,No,214
Electronics,103,415,105.99,305.59,316.56,3.6,No,444
Home & Kitchen,409,296,73.45,91.72,99.13,4.0,No,355
Home & Kitchen,562,413,104.87,113.46,106.75,3.3,No,435
Home & Kitchen,540,489,114.44,164.07,175.09,4.0,No,543
Fashion,185,455,112.31,77.54,70.49,4.2,No,496
Sports & Outdoors,321,183,43.72,243.67,230.32,3.9,No,238
Sports & Outdoors,347,317,78.76,59.91,57.63,4.5,No,387
Fashion,555,320,77.44,31.92,30.88,3.3,No,364
Sports & Outdoors,166,163,38.5,50.16,48.96,4.9,Yes,289
Sports & Outdoors,115,23,8.08,128.24,124.69,2.9,No,75
Sports & Outdoors,108,255,66.16,135.76,136.0,4.3,No,309
Grocery,481,212,53.69,18.63,19.98,4.2,No,262
Home & Kitchen,196,322,79.12,39.89,36.85,4.4,No,387
Electronics,47,351,84.47,975.52,1021.26,3.6,No,390
Grocery,529,427,105.68,20.7,20.89,5.0,No,486
Sports & Outdoors,26,497,124.81,174.13,178.48,4.1,No,557
Sports & Outdoors,128,454,115.35,234.79,251.26,3.9,No,507
Electronics,521,127,31.59,351.0,344.8,3.7,No,165
Sports & Outdoors,454,390,102.1,199.18,190.65,5.0,No,443
Sports & Outdoors,219,61,15.74,199.44,208.75,3.9,Yes,206
Home & Kitchen,574,43,9.27,71.8,78.14,4.2,Yes,171
Beauty & Personal Care,208,426,111.04,58.73,57.82,3.5,No,470
Fashion,443,359,87.65,114.92,117.92,5.0,Yes,495
Grocery,313,171,48.05,12.26,11.26,3.5,No,230
Electronics,69,366,88.06,790.51,760.93,4.4,No,385
Grocery,252,168,48.47,6.51,7.08,3.2,Yes,305
Electronics,424,298,76.67,808.86,790.36,3.9,No,348
Electronics,58,251,67.02,375.4,387.79,4.4,No,324
Beauty & Personal Care,252,141,34.28,66.12,70.9,3.9,No,209
Home & Kitchen,155,287,77.65,143.16,134.69,4.3,No,341
Sports & Outdoors,165,83,20.02,33.13,35.85,3.2,No,104
Grocery,391,30,8.72,20.84,22.64,4.2,No,107
Grocery,299,252,65.04,8.35,8.8,2.9,No,284
Electronics,449,458,116.93,849.79,898.63,3.7,No,524
Sports & Outdoors,189,182,48.18,119.0,122.55,3.5,No,241
Beauty & Personal Care,133,274,63.51,41.81,37.87,5.0,No,325
Fashion,307,135,38.08,50.13,46.72,4.3,No,182
Home & Kitchen,539,97,23.26,68.86,65.42,3.5,No,152
Fashion,181,66,13.9,132.81,141.53,4.3,No,119
Fashion,265,328,81.31,89.71,89.77,3.3,Yes,446
Grocery,562,428,108.45,11.82,12.08,4.2,Yes,536
Home & Kitchen,239,126,31.84,40.66,37.27,5.0,Yes,269
Fashion,251,152,39.05,100.68,102.33,3.7,No,198
Sports & Outdoors,179,141,33.04,240.57,246.17,3.4,No,192
Grocery,97,344,87.1,11.18,11.75,3.5,No,373
Beauty & Personal Care,75,62,12.72,32.28,29.97,4.1,No,118
Grocery,255,21,3.98,19.67,21.45,4.3,No,96
Beauty & Personal Care,77,401,106.34,57.58,54.74,4.6,Yes,545
Electronics,343,100,25.4,1035.49,1032.4,4.7,No,155
Grocery,439,464,114.75,1.81,1.78,2.1,No,470
Sports & Outdoors,561,20,2.98,106.51,107.4,3.5,No,70
Sports & Outdoors,578,349,87.05,31.45,32.89,3.5,No,372
Grocery,352,136,29.81,9.72,10.55,4.7,No,190
Home & Kitchen,372,496,124.81,22.63,23.84,5.0,No,564
Fashion,224,223,57.62,16.97,15.98,3.3,No,283
Sports & Outdoors,494,427,105.28,157.27,155.17,3.4,No,484
Fashion,44,346,89.83,78.98,82.4,3.3,No,380
Beauty & Personal Care,375,457,117.08,48.17,48.99,4.5,Yes,588
Electronics,160,398,102.59,726.81,731.64,4.8,No,469
Beauty & Personal Care,211,392,100.69,67.31,61.43,3.0,No,433
Sports & Outdoors,579,486,123.78,35.77,37.19,3.2,Yes,568
Sports & Outdoors,221,84,23.81,208.72,214.15,3.8,No,148
Beauty & Personal Care,31,244,60.12,14.79,15.52,4.3,No,308
Home & Kitchen,355,154,41.98,163.27,174.96,3.3,No,203
Electronics,308,305,74.74,173.55,168.71,4.1,No,369
Beauty & Personal Care,446,305,76.97,30.24,28.02,4.2,No,380
Beauty & Personal Care,280,139,37.82,50.26,51.07,5.0,No,203
Grocery,117,357,90.35,6.47,7.11,2.4,No,391
Sports & Outdoors,79,217,54.06,238.06,253.91,4.6,Yes,348
Beauty & Personal Care,68,442,116.39,58.19,59.92,3.9,No,487
Home & Kitchen,116,420,108.83,96.48,99.72,3.7,Yes,540
Electronics,160,389,96.71,627.62,650.93,3.0,No,400
Beauty & Personal Care,154,336,83.11,49.23,47.03,4.0,No,391
Home & Kitchen,49,22,6.12,56.79,58.96,4.4,No,99
Electronics,211,433,106.74,360.58,340.12,4.5,No,495
Beauty & Personal Care,354,236,57.94,39.35,38.53,3.3,No,281
Fashion,568,448,106.46,71.19,66.46,3.4,No,477
Beauty & Personal Care,97,98,24.31,28.04,29.71,4.2,No,149
Home & Kitchen,380,63,14.69,77.2,74.15,4.0,Yes,189
Sports & Outdoors,270,144,37.6,160.05,149.04,4.5,No,186
Grocery,443,442,110.55,7.93,7.91,3.8,No,474
Fashion,403,195,45.19,112.88,114.56,2.3,No,222
Electronics,432,54,10.38,540.04,507.12,5.0,No,106
Sports & Outdoors,191,225,53.85,202.93,187.64,4.1,No,263
Beauty & Personal Care,314,379,95.78,76.5,71.54,5.0,No,458
Home & Kitchen,57,53,13.54,63.09,58.44,4.0,No,95
Beauty & Personal Care,391,260,62.85,67.45,64.56,3.1,No,296
Grocery,291,90,26.04,20.2,18.89,4.0,No,151
Sports & Outdoors,485,402,99.58,15.15,16.27,4.3,No,467
Electronics,332,413,101.34,398.94,434.73,3.3,No,454
Grocery,515,283,68.55,12.5,12.42,3.5,No,328
Electronics,571,300,78.51,329.24,298.32,3.6,No,319
Electronics,5,194,50.46,685.35,685.52,2.4,No,245
Home & Kitchen,76,241,57.92,73.84,73.33,4.4,No,297
Grocery,510,246,62.96,6.2,5.65,5.0,No,321
Beauty & Personal Care,196,227,58.98,35.89,32.78,4.0,Yes,338
Electronics,277,241,59.83,589.51,565.05,3.0,Yes,325
Sports & Outdoors,222,161,38.42,160.61,163.81,3.3,No,200
Beauty & Personal Care,256,322,82.45,56.82,57.31,3.3,No,339
Grocery,451,252,62.67,7.63,7.39,3.3,No,275
Grocery,515,151,37.1,7.14,7.44,3.3,No,178
Fashion,14,81,19.69,104.36,109.6,2.8,No,113
Grocery,166,456,111.38,23.63,24.97,4.7,No,507
Fashion,582,354,86.08,55.35,51.0,4.6,No,399
Electronics,147,354,85.33,1022.5,944.77,4.1,No,389
Fashion,74,264,67.25,100.35,102.03,3.4,No,303
Home & Kitchen,246,105,28.4,187.0,199.0,5.0,No,189
Fashion,447,359,92.19,28.33,25.93,3.4,No,401
Electronics,449,374,91.46,184.07,189.91,3.2,Yes,481
